"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZBTB16",2275.67109415947,-3.95975637031365,0.33066445813261,-11.9751496507243,4.79571486438757e-33,7.81605608597886e-29
"FKBP5",11496.5464285609,-2.60192333240782,0.311235650249982,-8.35997846107275,6.27297082754092e-17,5.1118439273631e-13
"IL7R",3940.66038395717,-2.80891774620369,0.355058160509661,-7.91114825292759,2.55025607846965e-15,1.38546911889661e-11
"DES",576.320166563852,-2.48134303585826,0.326571249191622,-7.5981674504429,3.00353532267096e-14,1.22379046722228e-10
"CXCR4",15818.5684674949,-2.10050410066265,0.303137217406305,-6.92921878294895,4.23170928383408e-12,1.37936795815856e-08
"F3",1224.32798052856,-2.44446810322552,0.354473697354558,-6.89604933022849,5.34686349785636e-12,1.45238635480105e-08
"TSC22D3",4067.70078668281,-2.11557447684486,0.316834866318802,-6.67721485777435,2.43525800761041e-11,5.66997642971921e-08
"PER1",2529.46073751076,-1.82723137834912,0.28851089807963,-6.333318396329,2.39943690753308e-10,4.88825283987177e-07
"PCOLCE2",155.170579895771,-2.2675890562326,0.359364048524822,-6.31000531505858,2.79025885459347e-10,5.05284875690715e-07
"CILP",1362.65695866214,-2.29675606987263,0.366530797318748,-6.26620214910699,3.69960004081053e-10,6.02960814651301e-07
"TYRP1",23250.7429099327,-1.95530439114557,0.321477650639197,-6.08224051425604,1.18514605607912e-09,1.75595549290705e-06
"NTS",1654.08937707212,-2.61246018439571,0.443043313892403,-5.89662478244773,3.71012212608639e-09,5.03896420091299e-06
"DPT",2847.49074366234,-2.23762515041256,0.38628666476411,-5.79265440545038,6.92825797218609e-09,8.6859037254376e-06
"AGTR1",77.3529184878115,-2.50649826072081,0.440361900607628,-5.69190535616785,1.25629488741911e-08,1.46250671965405e-05
"ALOX15B",745.658378448442,-2.46701618671119,0.435446905710685,-5.66548103651079,1.46612639664663e-08,1.59299520083646e-05
"BCL11A",268.11754293577,-1.98980056182099,0.354118335676509,-5.61902720461979,1.92035620613975e-08,1.9561228404791e-05
"PPP1R1A",48.9131227529604,-2.48535530327575,0.452980357722843,-5.48667345261894,4.09573246403837e-08,3.92660280581749e-05
"CACNA1I",108.394248629702,-2.01391930197281,0.370055153089579,-5.44221391097695,5.2622430676685e-08,4.76466875093674e-05
"HMCN2",381.979111871431,-1.9980194929897,0.374463386274642,-5.33568718925246,9.5183374698294e-08,8.16472968859366e-05
"SDK1",875.716453568651,-1.48095150786959,0.278366071086219,-5.32015810005412,1.03677115394162e-07,8.44864813347027e-05
"CXCL13",3730.26000743544,-2.20475790936528,0.422281575682837,-5.22106110312803,1.77900825736853e-07,0.000138067983707582
"MXRA5",10154.0873479309,-1.68057718151282,0.324144162475119,-5.18465971646744,2.16409621446221e-07,0.000160320182287751
"SDPR",687.095407030182,-2.1390816828661,0.417390476426136,-5.12489336407905,2.97706189877703e-07,0.000210957194896818
"BTLA",303.654860302922,-1.98170984839563,0.390609711965337,-5.07337577047108,3.90819653443997e-07,0.000227484953993938
"CES1",1282.28087461993,-2.0248006724617,0.398586626923582,-5.07995134731376,3.77531542829895e-07,0.000227484953993938
"COMP",13051.7739421384,-2.04351405006675,0.401865258016202,-5.08507269365486,3.6748529228246e-07,0.000227484953993938
"PLIN1",834.403355077868,-2.3387007482937,0.46061022910841,-5.07739646342779,3.82641895444609e-07,0.000227484953993938
"SAA1",582.659026696411,-2.34169263509364,0.46089167949197,-5.08078739385104,3.75873608486137e-07,0.000227484953993938
"SCARA5",212.319465112602,-2.24716261121501,0.445580546502553,-5.0432242360072,4.57752288807184e-07,0.000257256786309637
"OSR1",148.046216821827,-2.26444402426679,0.451630269679836,-5.01393324648517,5.3328494459701e-07,0.000289715934234735
"CD69",578.425512001937,-1.91337458589195,0.383688144145951,-4.98679621740964,6.13887556519725e-07,0.000312660606129953
"SCML4",514.351207553731,-1.37823453047008,0.276345295178526,-4.98736383255486,6.12087308783174e-07,0.000312660606129953
"TXK",1314.54245306066,-1.41120533010937,0.284656290406898,-4.95757647966304,7.13779480463916e-07,0.00035252054462427
"COL4A5",1227.96364109085,-1.54895546826539,0.316973973041985,-4.88669606971238,1.02542203864793e-06,0.000491539070173059
"FLT3",496.721763092995,-1.69854514784369,0.348635519290294,-4.87197962875773,1.10485563358129e-06,0.000514483917603084
"ADAMTS3",254.320767206281,-1.56628131442344,0.324816084415167,-4.82205589431798,1.42086115813704e-06,0.000625870139332905
"LIPG",291.693210827816,-1.54776844388074,0.320807958733444,-4.8245949071568,1.40288104027183e-06,0.000625870139332905
"IPCEF1",676.791011970393,-1.80213978785307,0.375205575808586,-4.80307304594122,1.56248851707121e-06,0.000670143101348066
"PKP1",76.6840912830671,-1.81941946490802,0.380414848459918,-4.78272462884614,1.72934961689368e-06,0.000722690770670084
"KRT5",150.03115096559,-1.78657575630985,0.374936825261215,-4.76500475797532,1.8884919318239e-06,0.00076946603762165
"MFAP5",880.996362203449,-1.76015229914259,0.371181020428038,-4.74203206056392,2.11585128888909e-06,0.000841076690397911
"CCL19",4431.07944887594,-2.1175438275184,0.45118578113181,-4.69328581722254,2.68851452058095e-06,0.00104327165848639
"P2RX5",318.854670280257,-1.98005401652603,0.423684411261699,-4.6734172036908,2.96229157192888e-06,0.00112277739626272
"RASGRP2",1267.55549956449,-1.25040601939814,0.269913159049188,-4.63262341044392,3.61060970231035e-06,0.00133740265746032
"FAM65B",863.072271124206,-1.67312415452436,0.363627059164814,-4.60120915744617,4.20045371324968e-06,0.00152131099152318
"FAM129C",206.914343529527,-1.7679980626115,0.385776938293497,-4.58295425961004,4.58452351319584e-06,0.00162431661343621
"DCLK1",2332.06747290494,-1.42958632336427,0.314627478595334,-4.54374274537849,5.52640971207431e-06,0.00191637075505079
"SCN4B",1150.16472831997,-1.32429091276967,0.294243839120761,-4.50065808251694,6.77434012863535e-06,0.00230017073784373
"LILRA4",371.266194327862,-1.83080340129319,0.41124147997371,-4.45189381530829,8.51162562001472e-06,0.00283107090520408
"FAM167A",111.625583999986,-1.6873199744634,0.382429300158216,-4.41210956839691,1.02368282756784e-05,0.00333679654474013
"FAM107A",43.0757333619933,-1.84933314019872,0.420800718072272,-4.39479559034663,1.10877037111176e-05,0.0034751422131499
"FCRL1",361.100110208809,-1.78580367714879,0.406311631614649,-4.39515765288864,1.10692388183865e-05,0.0034751422131499
"LIFR",2020.02116325166,-1.71111910759411,0.392317284280549,-4.36156951568433,1.29132753844492e-05,0.00389741781881024
"VPREB3",84.472870821192,-1.94761241190549,0.446186909436321,-4.36501468491301,1.27114218865965e-05,0.00389741781881024
"KCND3",220.517584407144,-1.33733861671026,0.307229905762395,-4.35289205779508,1.34353310305741e-05,0.00398125500247812
"DOC2B",196.827296965487,-1.73609610469421,0.399275655410856,-4.34811409402799,1.37313170484271e-05,0.00398974582288644
"IL18R1",321.6291994763,-1.31219412264101,0.302029428137845,-4.3445902961553,1.39535839921786e-05,0.00398974582288644
"TRABD2A",225.064285869877,-1.60022773210165,0.369692498786093,-4.32853719606456,1.50102984522727e-05,0.00421789386508863
"ADCY5",231.877144781951,-1.613983967213,0.375111060472756,-4.30268295789222,1.68742227556866e-05,0.00466128953342679
"FAM177B",50.6022631568093,-1.80860224906843,0.423075597340441,-4.27489143887701,1.9123045134467e-05,0.00519445649335904
"CCR4",388.5209226934,-1.49233034102876,0.351038457283133,-4.25118761225957,2.12639946599291e-05,0.0056813210650414
"ISM1",328.472263830105,-1.54575730908492,0.364697077739703,-4.23846913900467,2.25049111132324e-05,0.00591588776328164
"PDK4",4150.1121669692,-1.93049511165447,0.455961226083863,-4.23390192239592,2.29671140122702e-05,0.00594155593923777
"CIDEA",19.2874367575133,-1.94712655263429,0.46048141262383,-4.22845852026802,2.35297885062647e-05,0.00599200770429847
"ANKRD55",71.1280689655332,-1.68246107890552,0.398607725146481,-4.22084413513874,2.43389186089966e-05,0.00601023781044585
"CA3",48.7149158256989,-1.7986762158758,0.426102007608345,-4.22123384485216,2.42968719011218e-05,0.00601023781044585
"BANK1",1095.14702014525,-1.83212831524931,0.436223513252237,-4.19997606637477,2.66943196162112e-05,0.00649349285231359
"BACH2",282.200972482348,-1.25735354399059,0.299699476102705,-4.19538118765246,2.72413056450187e-05,0.00652909999121345
