"","163_PRE","109_PRE","97_PRE","97_SURG","109_SURG","163_SURG"
"RXRG",10.6814485962747,8.52849721270593,10.3442089160625,9.58829704127255,7.94964708403768,9.56712248110649
"APOD",15.0973649845736,16.1796234685261,16.0901848060745,14.8124413914905,13.8595015862728,14.3411564684528
"TCN1",7.96822591202446,8.00165677810391,9.26400521720787,7.47064188851095,7.08059342811392,7.31445277505112
"C3orf67",8.42508059931354,9.85695027934205,10.6694814486125,9.85775884432188,8.99028459786248,7.94658423948132
"GRIK2",7.37524384246877,10.0586783552631,11.7169414846068,10.9546921621861,9.0335733637403,7.11048350097214
"SLC35F1",8.38388680138813,6.89839593903988,10.7065888542741,9.55974095622289,6.58944957881679,7.11104449406232
"BDNF",5.72461472125062,6.22646014018813,9.58718298936967,8.20044359737136,5.34771370683821,5.25227479297609
"FRMD5",9.42973930191711,9.83668306364232,11.7302580304653,10.6933222899564,8.35463043494691,8.87346204153864
"LIPG",7.89692820298186,7.34028567725494,6.4901422563697,7.67920712236824,8.4735870502396,8.8790642187356
"SCARA5",6.6176360445987,5.34331758859349,4.50992497318859,6.30346726545025,8.46266093318501,8.08594421291758
"TRABD2A",7.45477766438062,6.79702020242496,5.94663888585057,7.14273673427254,8.43296613772736,8.25497779437333
"PCOLCE2",5.6648305620322,6.30255517220079,4.6533828106919,5.66677641784129,8.02394634370375,7.67300469686688
"ALDH1L1",5.36257333513605,5.02054956208454,3.84422601546241,4.64655568082392,6.51755235224781,6.29626023049618
"CES1",9.15711615846159,8.49205370525612,8.24344655607355,9.24243917548189,11.1938737980914,10.7020252330144
"RBP4",6.13648313148804,4.56594060073921,4.82611130912427,5.98013028134616,9.88790068325267,9.02341324261005
"PPP1R1A",3.4535085662152,3.29953615307227,3.11896449105919,3.91294728271236,6.28186623574481,5.76071924284385
"DGAT2",7.41038224849624,6.91993781663286,6.69432773620025,7.31263055691491,10.5789881651376,9.34157639024749
"FBLN2",10.7299260835348,10.6572924596561,10.4365910161177,10.8325043064862,12.7249514101604,12.1153264105259
"ABI3BP",12.4026530916909,11.6573863529443,12.2803164803494,13.0207600872924,14.4887647595317,13.7619332778693
"CHRDL1",9.04416720752443,8.29427862970429,9.53126014160145,10.1970699123158,12.025136604893,11.0229777728922
"FABP4",6.77712158751216,6.1079244553091,7.47416219462805,8.3388306218119,11.1337113574439,9.89819534036558
"CIDEC",4.56831951120353,4.69030604959858,5.34597563846672,6.12346464496589,8.60998022784695,8.05403158098114
"PPP1R1B",4.31437051724804,4.66185007396311,5.12775059247882,5.63800478880131,7.07257323183766,6.51042126905418
"PI16",5.26804724279925,4.48253119974381,5.46698579886794,6.24213731654055,9.18246015070849,8.90378821323189
"PLIN1",6.20615667932144,6.18159214788466,6.34626462698611,7.31015203205902,10.429880949685,10.0313252830187
"PLIN4",8.42004033705813,8.04805534499922,8.70092602177267,9.35504334566215,12.7588191356283,11.8512140291634
"TNR",4.23255664799792,4.83982519103053,4.09302858795128,5.4274982099698,5.74964864423837,5.78788668452754
"SDK1",9.08023304370235,9.31227638213986,8.55972741297985,9.54078587593917,10.2380688178254,10.3181687741109
"KCND3",7.04261246288993,7.49669506268273,6.69713436673796,7.6320533466009,8.39190406196418,8.03954516077885
"DPT",9.89360491385978,10.0222415921332,8.74095137669988,10.571766970649,12.6196226452816,10.9537580941355
"FGF10",4.89710345166513,4.60158257523668,4.36598179109335,5.48298629687831,6.9129306697131,5.84694959340435
"ADAMTS3",7.04167084060994,7.22383080938818,7.19809364902218,8.06386349155164,8.63704173561007,8.1822586084266
"CIDEA",2.35583894389976,2.57114100065304,2.32552016303607,3.52964916626058,4.68273361482723,4.43119126636836
"ZNF385D",6.53905733954178,7.03038302410438,6.80815609399309,7.49543262876785,8.13765492077997,7.91442535032511
"AKR1C2",7.86604663023681,8.23016830137332,8.07536768850661,8.38504476419667,10.3138625305297,9.46637217986431
"GALNT13",2.88278280650417,3.07110955838517,2.60448080057486,3.49610023800455,5.35532352246552,4.04166960958278
"THRSP",3.2701283596801,3.92130929904034,3.43299608090045,4.05370362918588,6.02586067078227,4.68543559227304
"TSC22D3",10.9218065920804,10.4187547151267,11.0464658398057,12.4004609976584,12.3490226719715,12.3436999512091
"ZFAND5",12.4073655759976,12.2937015021346,12.453021641195,13.2119563557552,13.1582692647745,13.0341858049028
"OSR1",5.57645104017269,4.57459862180097,5.14579205272856,7.73051046654332,7.67739345099656,6.90488853816677
"AGTR1",4.69689674260727,4.03705339815745,4.29919522210667,6.31934741708569,6.85531430680896,6.37674510055957
"WT1",3.15964451685682,2.82276602189308,3.00721841431657,4.56047759018279,5.03867444145464,4.36157045267622
"ZBTB16",8.46783507474,8.35912373931888,8.61224141956274,11.1859636284556,11.0613813017862,11.904331342186
"DOC2B",6.18171714275122,6.33236789061865,6.97655772042441,7.86369758547257,7.68092222404248,8.24210549322518
"SESN1",9.99068036518087,9.96947716507289,10.4313525351571,10.9904331085856,10.7928024131195,11.0689878539638
"CA4",5.49076114762154,4.26454816172251,5.19966650968382,6.58983718339299,6.13089365240498,6.76408026119342
"ANKRD55",5.1973426735019,4.81262659935726,5.48130146544571,6.4454164862982,6.09754717482737,6.71893376790925
"FKBP5",12.1799882996462,11.4077719664973,12.0304960151613,13.5516678856247,13.4396236708794,14.3328987439106
"FAM177B",4.82545690703093,4.01722147002281,4.67446239502892,5.80496573530468,5.4544729566825,6.32762463459177
"SDPR",8.03179865329369,7.06191187106465,8.4100111434947,9.70510214747481,9.73245053747122,9.8714097994925
"KLF9",9.2662655755252,8.53703227467298,9.67127857354578,10.1948210140926,10.3853613099703,10.4465823526109
"LIFR",10.1330841209768,8.97719973134446,10.0805096412192,10.7234123291523,10.8709677183191,11.9031274707544
"OGFRL1",10.9231650941108,10.2090487913452,10.8942941706891,11.3969044721957,11.7165854379536,11.930671896727
"PDK4",10.1451340595721,8.95269386637768,10.3900847720116,11.3098490621523,12.4411354016692,12.766090852216
"ADH1B",8.78517917476845,7.48830822665064,9.11785070473466,10.1438718482827,11.6205566639844,12.4431460010267
"CACNA1I",5.95206451343919,4.53417128168634,5.36586155879632,6.67621157837627,5.72693540259919,7.70422668427501
"CD1C",7.94953628067838,5.79731646586877,7.25952750936923,8.27189710587453,7.8043804443324,9.19557945706441
